author_id,average_rating,name,ratings_count,text_reviews_count
604031,3.98,Ronald J. Fields,49,7
626222,4.08,Anita Diamant,546796,28716
10333,3.92,Barbara Hambly,122118,5075
9212,3.68,Jennifer Weiner,888522,36262
149918,3.82,Nigel Pennick,1740,96
3041852,3.89,Alfred J. Church,947,85
215594,4.17,Michael Halberstam,23,6
19158,4.18,Rachel Roberts,13677,486
5807700,3.99,V.L. Locey,3130,986
2983296,3.48,Anton Szandor LaVey,12628,824
40075,3.76,Kenneth Anger,5255,396
37778,3.86,Bernard Knight,7836,616
242185,3.95,Carolyn Haines,42549,2906
27397,4.00,Benjamin Hoff,104975,4231
35259,3.54,Christopher Ross,420,81
3083854,3.84,Tom Wolfe,210744,9732
39054,3.92,Don Piper,71959,3251
11099,3.96,Cecil Murphey,86128,5313
4862,4.29,Randy Alcorn,56585,3992
137561,3.99,Jennifer L. Holm,128152,12146
5411,4.06,Cynthia Rylant,96780,8642
4092328,3.84,Margot Hovley,318,97
75424,4.14,Wayne Kinsey,71,7
1357577,3.66,Francoise Sagan,28688,1889
3389,4.01,Stephen King,10666719,367487
105602,4.10,Edward Herrmann,7201,1916
31308,4.14,Peter Maass,1194,127
50873,3.89,L.J. Smith,919399,30755
232533,3.82,Anne Emmert,436,58
166520,4.50,Christopher Michael McDonough,2,1
166517,4.06,Richard E. Prior,168,17
3958428,4.50,Mark Jackson Stansbury,2,1
3958429,4.50,Mark Stansbury,2,1
6536612,0.0,Zabrina Murray,0,1
15585,4.03,James Russell Lowell,1464,158
5054653,4.05,Lisa Mills,218,37
7326076,4.70,Zhang  Yun,23,15
15104629,3.63,David  Blake,473,66
14425713,3.48,David J. Ashton,200,23
51229,4.25,John  Williams,72020,8761
110982,3.72,Peter Cameron,15208,2172
5768434,4.11,Stefano Tummolini,2133,416
2994299,4.25,mHmd`ly frwGy,4602,284
5360266,4.10,Carrie Ann Ryan,62789,6895
190988,3.56,Margaret Yorke,1813,214
8289606,4.13,Nikki Faye,258,70
1265,4.10,Jane Austen,4693826,127817
8551671,4.11,Lindsey Schussman,9,1
17038441,4.25,Raina Palmatier,4,1
589328,3.87,Larry Shles,31,7
