author_id,average_rating,name,ratings_count,text_reviews_count,main_genre
5344544,3.53,Pablo Rumel,34,5,General
6952482,4.30,Brantwijn Serrah,444,210,General
1228573,3.97,Margaret Blake,125,16,General
1580,4.03,Humphrey Carpenter,17046,703,General
5011219,4.63,K.C. Sprayberry,176,65,General
156645,3.33,Anna David,1849,270,General
609422,3.77,Shelley Rotner,1384,419,General
7195,4.06,John Boyne,437743,28600,General
5407382,4.22,Christopher  Wood,346,23,General
5096033,2.69,Roberto Valencia,32,2,General
2951127,3.75,E. Catherine Tobler,4522,1017,General
315737,3.79,Suzanne Toren,5251,1470,General
700073,3.80,Meryl Streep,1129,298,General
358997,4.07,Gavin Reid,121,10,General
14396232,3.56,A Hultquist,9,3,General
5051855,3.95,Kristy K. James,3462,410,General
68668,3.77,Jon Fosse,2419,261,General
118353,4.14,Curt Riess,22,4,General
6575126,1.00,Robert Burkhart,1,1,General
5419352,3.66,Aurelie Marechal,148,24,General
7044750,4.27,Lenora Henson,440,54,General
14416414,3.69,Dugald Bruce-Lockhart,251,70,General
2798739,3.65,Hmdy `bd lrHym,293,64,General
214390,3.77,Suor Maria Celeste,48,9,General
4704348,4.05,Grace Greene,5727,630,General
6941853,4.08,Robyn Rychards,154,92,General
14257668,3.68,You Xi *A De Le -Ou Er Sen,19,3,General
3215256,4.25,Rich Woodall,16,2,General
6567705,3.87,Sarah Moore Fitzgerald,2245,513,General
4477070,3.39,S.L. Grey,3281,558,General
74572,3.95,Katherine Anne Porter,15232,1167,General
13910956,3.68,Eleonora Carlini,1894,246,General
4179155,3.79,Tracey Corderoy,2277,486,General
7037616,4.38,G.S. Luckett,37,34,General
487341,4.03,George K. Hunter,377,21,General
622133,3.81,Concha Cardenoso,359,55,General
8244779,3.88,Adeline Myers,8,4,General
13394677,1.00,Gwenieth Wisdom,1,1,General
9885986,3.46,Melody Anson,101,25,General
4553283,3.82,Julian Assange,3013,331,General
6519859,4.03,Brenda K. Davies,24853,1926,General
4798473,3.12,Jarmo Karonen,72,8,General
314615,3.65,Doreen Orsini,380,24,General
13508159,4.25,Lindsay Detwiler,405,260,General
5448265,4.74,Dan Cafaro,57,20,General
4292126,3.85,Kelly Lintz,40,17,General
28055,3.84,James Robinson,46864,3363,General
365639,4.06,Willie Robertson,7982,925,General
2966971,3.71,Erik de Vries,394,62,General
2844043,3.89,Karina Sumner-Smith,3897,426,General
15296101,4.24,Chace Verity,224,94,General
272650,3.93,Kate Carlisle,34351,4154,General
10547,4.26,E.E. Cummings,73489,2329,General
10782788,4.13,Jillianne Hamilton,225,34,General
96116,3.92,Jon L. Breen,4995,355,General
6982627,4.11,D. Robert Hamm,36,8,General
126820,3.74,Daniel F. Galouye,1365,174,General
14833430,3.95,Alison  Ryan,4034,450,General
3905468,3.37,Nancy Blumenthal,19,4,General
1806378,4.01,Kathleen Mix,127,92,General
1221242,3.61,Jerzy Stuhr,301,19,General
2917917,4.07,N.K. Jemisin,143143,17270,General
276755,4.27,Sarah Tieck,2016,188,General
2747068,3.25,ywsf m`Ty,6001,608,General
658076,3.55,Magnus Scheving,11,4,General
116981,3.70,Natasha Mostert,3242,728,General
67123,3.87,Jess Michaels,24368,2776,General
462367,3.62,Robert Montgomery Bird,222,23,General
32278,3.83,Poul Anderson,94473,4821,General
35992,3.38,Elizabeth Ferrars,941,116,General
442686,3.93,Steve Milton,269,40,General
1020896,3.38,Andrea Vitali,4157,555,General
6241583,3.22,A.J. Best,9,4,General
6887786,3.83,Lina Krutulyte,47,3,General
7010337,4.09,Richard Givan,55,4,General
510937,4.05,George Bennett,74,11,General
7062513,2.20,Tommi Penttila,5,1,General
13550235,2.00,Hans Wolfgang Nickel,1,1,General
1368122,3.94,Mats Strandberg,22402,1869,General
976291,3.64,Petr Sabach,1984,115,General
3242457,4.11,Elaine Orr,815,189,General
5260012,3.85,Patricia Paris,768,79,General
1089373,3.90,Donald Fuller,42,11,General
298251,4.31,Bear Heart,548,57,General
6448762,5.00,Aleecia Alsop,1,1,General
61907,3.83,Marvel Comics,7873,775,General
4389638,4.31,Andrea Costantine,35,12,General
745564,4.13,Steve MacIsaac,418,68,General
4093047,4.95,Garth von Buchholz,22,4,General
1184766,3.93,Marc Thomas,41,10,General
7360538,4.12,Amy Lamont,2817,658,General
445669,4.15,Everett Ruess,831,80,General
108007,3.93,Dakota Cassidy,45053,3974,General
6606352,3.82,Mike Jacobsen,130,22,General
1180263,3.87,Kendra Leigh Castle,10579,1238,General
1287734,4.16,Shani Greene-Dowdell,1757,350,General
4401522,3.51,M.  Jones,134,48,General
7628510,4.33,Bruce L. Thompson Jr.,3,1,General
17142434,4.53,Evelyn Vox,45,34,General
3270228,4.08,Sally Wragg,13,8,General
15083689,3.60,Mark Nathan,88,2,General
178565,3.45,Tamsin Blanchard,137,25,General
6435080,3.93,Carmen Toader,623,42,General
2394831,4.35,Percy H. Whiting,26,6,General
15087419,3.48,Kai Vuosalmi,21,3,General
247320,3.38,Patrick Quentin,389,38,General
3127363,3.84,Karen Hitchcock,650,105,General
6572092,3.67,Michael J. Kannengieser,12,8,General
1414132,3.81,Daniel McHugh,444,31,General
1862101,4.16,Nyki Blatchley,57,17,General
7047892,3.28,Anne  Whitney,147,37,General
2351651,3.77,Linus Larsson,1491,227,General
8024842,4.17,T.J. West,879,371,General
7804708,3.83,Eric Shira,6,2,General
34227,4.15,Beverly  Lewis,182748,10411,General
8065533,3.98,Tang Fei,1493,377,General
183525,3.69,Elizabeth Walter,147,24,General
638118,3.62,Horace E. Dobbs,29,4,General
2673769,3.89,Karine Le Pabic,9,2,General
14431698,3.50,Jeyarani,2,1,General
4407658,4.08,Marty Beaudet,53,25,General
532890,3.51,Cynthia Baron,53,6,General
542967,3.88,James Dawson,9626,1991,General
14754969,3.67,Shayer Khan Kollol,9,1,General
88354,3.99,Marcel Marlier,4005,130,General
397538,4.12,Alzir Hella,8411,437,General
14626572,5.00,Velvet Lenae,2,1,General
142226,3.53,Rob Vollmar,564,116,General
3305,3.93,L. Sprague de Camp,46891,1717,General
521089,3.20,Tony Talbert,15,4,General
2837675,3.60,Janine Vassas,84,4,General
34413,3.94,Larry Winget,3646,492,General
10797834,4.67,Paul Citrin,3,1,General
1647069,3.84,Masolino d'Amico,2674,227,General
3985526,4.14,Guerrero Pedro,7,1,General
327983,3.78,Olen Steinhauer,31576,3343,General
6590157,3.76,Christopher Antony Meade,68,31,General
6941668,3.96,Danielle DeVor,1080,232,General
85377,4.06,Kenneth Hite,6299,398,General
974234,3.74,Connie Hall,238,28,General
3118521,4.34,Phillip Hall,71,19,General
48914,4.12,Tim Green,29203,3276,General
1207046,4.21,Anne Raeff,38,16,General
333464,4.27,John Porter,1156,657,General
384527,3.58,Nicolas Fructus,603,82,General
5227163,3.57,Jesse Andrews,100658,12518,General
7263314,4.20,Bethany Tallack,15,8,General
180675,3.75,Rudolf Karl Bultmann,510,56,General
15371639,3.71,Michael Ciminera,7,3,General
215315,4.00,Daniel St. James,4,3,General
225525,4.17,Robert W. Lawson,11827,293,General
4778219,3.74,Alessio Catania,105,14,General
4736939,4.01,Rachel Firasek,1786,484,General
553314,3.82,Laura Bloom,95,29,General
7791300,3.72,Gabra Zackman,1292,289,General
49237,3.88,Joy Williams,12051,1730,General
64227,4.00,Stephanie Rodriguez,4,1,General
6479112,2.33,Monica Daddio,3,1,General
7146423,3.75,Ergun Mehmet Caner,509,61,General
1058366,3.80,Josep Munoz Redon,15,1,General
5351440,3.55,Giorgos Leonardos,177,18,General
6869883,3.61,E.C. Tubb,4806,416,General
719256,3.98,John Theberge,51,6,General
7222957,4.07,Maris Black,14270,1760,General
6554252,3.49,Seita Vuorela,913,83,General
4702536,4.38,Pinky Dior,268,71,General
7799197,3.59,Lucy Lethbridge,1066,206,General
16175036,4.09,Nuno Amaral Jorge,11,3,General
5268170,3.81,Roy E. Stolworthy,161,16,General
202457,3.64,Brian McDonald,758,90,General
5424107,4.05,Wani Ardy,669,141,General
15990871,4.65,Serica Rena',144,57,General
102963,4.02,Michelle Parker-Rock,57,8,General
778307,3.99,Meenakshi Mukerji,135,4,General
50975,4.26,Samael Aun Weor,1417,72,General
190328,4.32,Graham Oakley,1876,150,General
5358016,2.75,Nazihatul Hanan,12,5,General
1782531,4.22,Annie Boone,3232,265,General
7796988,4.25,Rebecca McDonald,182,69,General
14789516,3.30,`ly lmjnwny,705,176,General
15179450,4.24,White Stag,17,9,General
6498865,4.22,Nicole Conway,4472,266,General
8283338,4.19,J.L. Sapphire,178,54,General
7239941,3.48,Jessa Holbrook,549,97,General
14150174,3.93,Stacia Stone,242,48,General
14180222,3.60,Ida Holmegaard,47,5,General
7686588,4.12,M.J.   Stevens,151,48,General
5436719,4.05,Hayden Chance,43,15,General
5294897,3.87,Anthea Sharp,10274,1499,General
7150875,4.14,Jay Korza,167,21,General
14613564,2.67,Robert Matsudaira,3,1,General
855050,4.05,Fiona Wright,398,74,General
657613,3.96,Denis Crouan,23,2,General
5413783,3.74,Ron DeLegge II,53,27,General
7893632,4.00,Chiara Talluto,9,7,General
99622,3.78,Thomas S. Roche,2632,374,General
7141469,4.00,Chase Webster,18,4,General
7875317,4.17,Gamon Sakurai,8815,427,General
62344,3.77,Charlotta M. Bebenroth,47,3,General
5778250,3.09,m`n 'bw Hsn,96,31,General
5390231,4.31,Kostas Georgousopoulos,348,8,General
1233554,4.06,Karen Nichols,445,26,General
4611286,3.84,Michael Moreci,2704,327,General
296424,4.13,Ronni Solbert,3255,349,General
536324,4.12,Harry Sheehy,16,3,General
3055395,4.42,Lawrence Dagstine,64,10,General
14844262,3.95,Sandra Ferrer Valero,19,9,General
2919757,4.33,Bliss Isely,3,6,General
6980575,4.25,Lori Anne Rising,4,2,General
42185,4.08,Rita Carter,3261,111,General
15143655,4.05,Khairul Hafidz,130,23,General
2967165,3.76,K. Lippi,29,14,General
3208,3.80,Gavin Lambert,714,71,General
35646,3.62,Knister,3017,98,General
930479,4.03,Geoffrey Tillotson,62,11,General
7077675,4.65,Rae Ann Parker,23,17,General
73693,4.14,Bob Russell,192,33,General
141638,4.14,B.J. Hoff,4796,495,General
787720,4.23,Laurence Cleyet-Merle,53,14,General
14665019,4.00,Taz Thornton,14,3,General
151782,3.16,Sheila Douglas,64,13,General
378702,4.07,Michael Cisco,5902,531,General
