author_id,average_rating,name,ratings_count,text_reviews_count
5344544,3.53,Pablo Rumel,34,5
6952482,4.30,Brantwijn Serrah,444,210
1228573,3.97,Margaret Blake,125,16
1580,4.03,Humphrey Carpenter,17046,703
5011219,4.63,K.C. Sprayberry,176,65
156645,3.33,Anna David,1849,270
609422,3.77,Shelley Rotner,1384,419
7195,4.06,John Boyne,437743,28600
5407382,4.22,Christopher  Wood,346,23
5096033,2.69,Roberto Valencia,32,2
2951127,3.75,E. Catherine Tobler,4522,1017
315737,3.79,Suzanne Toren,5251,1470
700073,3.80,Meryl Streep,1129,298
358997,4.07,Gavin Reid,121,10
14396232,3.56,A Hultquist,9,3
5051855,3.95,Kristy K. James,3462,410
68668,3.77,Jon Fosse,2419,261
118353,4.14,Curt Riess,22,4
6575126,1.00,Robert Burkhart,1,1
5419352,3.66,Aurelie Marechal,148,24
7044750,4.27,Lenora Henson,440,54
14416414,3.69,Dugald Bruce-Lockhart,251,70
2798739,3.65,Hmdy `bd lrHym,293,64
214390,3.77,Suor Maria Celeste,48,9
4704348,4.05,Grace Greene,5727,630
6941853,4.08,Robyn Rychards,154,92
14257668,3.68,You Xi *A De Le -Ou Er Sen,19,3
3215256,4.25,Rich Woodall,16,2
6567705,3.87,Sarah Moore Fitzgerald,2245,513
4477070,3.39,S.L. Grey,3281,558
74572,3.95,Katherine Anne Porter,15232,1167
13910956,3.68,Eleonora Carlini,1894,246
4179155,3.79,Tracey Corderoy,2277,486
7037616,4.38,G.S. Luckett,37,34
487341,4.03,George K. Hunter,377,21
622133,3.81,Concha Cardenoso,359,55
8244779,3.88,Adeline Myers,8,4
13394677,1.00,Gwenieth Wisdom,1,1
9885986,3.46,Melody Anson,101,25
4553283,3.82,Julian Assange,3013,331
6519859,4.03,Brenda K. Davies,24853,1926
4798473,3.12,Jarmo Karonen,72,8
314615,3.65,Doreen Orsini,380,24
13508159,4.25,Lindsay Detwiler,405,260
5448265,4.74,Dan Cafaro,57,20
4292126,3.85,Kelly Lintz,40,17
28055,3.84,James Robinson,46864,3363
365639,4.06,Willie Robertson,7982,925
2966971,3.71,Erik de Vries,394,62
2844043,3.89,Karina Sumner-Smith,3897,426
15296101,4.24,Chace Verity,224,94
272650,3.93,Kate Carlisle,34351,4154
10547,4.26,E.E. Cummings,73489,2329
10782788,4.13,Jillianne Hamilton,225,34
96116,3.92,Jon L. Breen,4995,355
6982627,4.11,D. Robert Hamm,36,8
126820,3.74,Daniel F. Galouye,1365,174
14833430,3.95,Alison  Ryan,4034,450
3905468,3.37,Nancy Blumenthal,19,4
1806378,4.01,Kathleen Mix,127,92
1221242,3.61,Jerzy Stuhr,301,19
2917917,4.07,N.K. Jemisin,143143,17270
276755,4.27,Sarah Tieck,2016,188
2747068,3.25,ywsf m`Ty,6001,608
658076,3.55,Magnus Scheving,11,4
116981,3.70,Natasha Mostert,3242,728
67123,3.87,Jess Michaels,24368,2776
462367,3.62,Robert Montgomery Bird,222,23
32278,3.83,Poul Anderson,94473,4821
35992,3.38,Elizabeth Ferrars,941,116
442686,3.93,Steve Milton,269,40
1020896,3.38,Andrea Vitali,4157,555
6241583,3.22,A.J. Best,9,4
6887786,3.83,Lina Krutulyte,47,3
7010337,4.09,Richard Givan,55,4
510937,4.05,George Bennett,74,11
7062513,2.20,Tommi Penttila,5,1
13550235,2.00,Hans Wolfgang Nickel,1,1
1368122,3.94,Mats Strandberg,22402,1869
976291,3.64,Petr Sabach,1984,115
3242457,4.11,Elaine Orr,815,189
5260012,3.85,Patricia Paris,768,79
1089373,3.90,Donald Fuller,42,11
298251,4.31,Bear Heart,548,57
6448762,5.00,Aleecia Alsop,1,1
61907,3.83,Marvel Comics,7873,775
4389638,4.31,Andrea Costantine,35,12
745564,4.13,Steve MacIsaac,418,68
4093047,4.95,Garth von Buchholz,22,4
1184766,3.93,Marc Thomas,41,10
7360538,4.12,Amy Lamont,2817,658
445669,4.15,Everett Ruess,831,80
108007,3.93,Dakota Cassidy,45053,3974
6606352,3.82,Mike Jacobsen,130,22
1180263,3.87,Kendra Leigh Castle,10579,1238
1287734,4.16,Shani Greene-Dowdell,1757,350
4401522,3.51,M.  Jones,134,48
7628510,4.33,Bruce L. Thompson Jr.,3,1
17142434,4.53,Evelyn Vox,45,34
3270228,4.08,Sally Wragg,13,8
15083689,3.60,Mark Nathan,88,2
178565,3.45,Tamsin Blanchard,137,25
6435080,3.93,Carmen Toader,623,42
2394831,4.35,Percy H. Whiting,26,6
15087419,3.48,Kai Vuosalmi,21,3
247320,3.38,Patrick Quentin,389,38
3127363,3.84,Karen Hitchcock,650,105
6572092,3.67,Michael J. Kannengieser,12,8
1414132,3.81,Daniel McHugh,444,31
1862101,4.16,Nyki Blatchley,57,17
7047892,3.28,Anne  Whitney,147,37
2351651,3.77,Linus Larsson,1491,227
8024842,4.17,T.J. West,879,371
7804708,3.83,Eric Shira,6,2
34227,4.15,Beverly  Lewis,182748,10411
8065533,3.98,Tang Fei,1493,377
183525,3.69,Elizabeth Walter,147,24
638118,3.62,Horace E. Dobbs,29,4
2673769,3.89,Karine Le Pabic,9,2
14431698,3.50,Jeyarani,2,1
4407658,4.08,Marty Beaudet,53,25
532890,3.51,Cynthia Baron,53,6
542967,3.88,James Dawson,9626,1991
14754969,3.67,Shayer Khan Kollol,9,1
88354,3.99,Marcel Marlier,4005,130
397538,4.12,Alzir Hella,8411,437
14626572,5.00,Velvet Lenae,2,1
142226,3.53,Rob Vollmar,564,116
3305,3.93,L. Sprague de Camp,46891,1717
521089,3.20,Tony Talbert,15,4
2837675,3.60,Janine Vassas,84,4
34413,3.94,Larry Winget,3646,492
10797834,4.67,Paul Citrin,3,1
1647069,3.84,Masolino d'Amico,2674,227
3985526,4.14,Guerrero Pedro,7,1
327983,3.78,Olen Steinhauer,31576,3343
6590157,3.76,Christopher Antony Meade,68,31
6941668,3.96,Danielle DeVor,1080,232
85377,4.06,Kenneth Hite,6299,398
974234,3.74,Connie Hall,238,28
3118521,4.34,Phillip Hall,71,19
48914,4.12,Tim Green,29203,3276
1207046,4.21,Anne Raeff,38,16
333464,4.27,John Porter,1156,657
384527,3.58,Nicolas Fructus,603,82
5227163,3.57,Jesse Andrews,100658,12518
7263314,4.20,Bethany Tallack,15,8
180675,3.75,Rudolf Karl Bultmann,510,56
15371639,3.71,Michael Ciminera,7,3
215315,4.00,Daniel St. James,4,3
225525,4.17,Robert W. Lawson,11827,293
4778219,3.74,Alessio Catania,105,14
4736939,4.01,Rachel Firasek,1786,484
553314,3.82,Laura Bloom,95,29
7791300,3.72,Gabra Zackman,1292,289
49237,3.88,Joy Williams,12051,1730
64227,4.00,Stephanie Rodriguez,4,1
6479112,2.33,Monica Daddio,3,1
7146423,3.75,Ergun Mehmet Caner,509,61
1058366,3.80,Josep Munoz Redon,15,1
5351440,3.55,Giorgos Leonardos,177,18
6869883,3.61,E.C. Tubb,4806,416
719256,3.98,John Theberge,51,6
7222957,4.07,Maris Black,14270,1760
6554252,3.49,Seita Vuorela,913,83
4702536,4.38,Pinky Dior,268,71
7799197,3.59,Lucy Lethbridge,1066,206
16175036,4.09,Nuno Amaral Jorge,11,3
5268170,3.81,Roy E. Stolworthy,161,16
202457,3.64,Brian McDonald,758,90
5424107,4.05,Wani Ardy,669,141
15990871,4.65,Serica Rena',144,57
102963,4.02,Michelle Parker-Rock,57,8
778307,3.99,Meenakshi Mukerji,135,4
50975,4.26,Samael Aun Weor,1417,72
190328,4.32,Graham Oakley,1876,150
5358016,2.75,Nazihatul Hanan,12,5
1782531,4.22,Annie Boone,3232,265
7796988,4.25,Rebecca McDonald,182,69
14789516,3.30,`ly lmjnwny,705,176
15179450,4.24,White Stag,17,9
6498865,4.22,Nicole Conway,4472,266
8283338,4.19,J.L. Sapphire,178,54
7239941,3.48,Jessa Holbrook,549,97
14150174,3.93,Stacia Stone,242,48
14180222,3.60,Ida Holmegaard,47,5
7686588,4.12,M.J.   Stevens,151,48
5436719,4.05,Hayden Chance,43,15
5294897,3.87,Anthea Sharp,10274,1499
7150875,4.14,Jay Korza,167,21
14613564,2.67,Robert Matsudaira,3,1
855050,4.05,Fiona Wright,398,74
657613,3.96,Denis Crouan,23,2
5413783,3.74,Ron DeLegge II,53,27
7893632,4.00,Chiara Talluto,9,7
99622,3.78,Thomas S. Roche,2632,374
7141469,4.00,Chase Webster,18,4
7875317,4.17,Gamon Sakurai,8815,427
62344,3.77,Charlotta M. Bebenroth,47,3
5778250,3.09,m`n 'bw Hsn,96,31
5390231,4.31,Kostas Georgousopoulos,348,8
1233554,4.06,Karen Nichols,445,26
4611286,3.84,Michael Moreci,2704,327
296424,4.13,Ronni Solbert,3255,349
536324,4.12,Harry Sheehy,16,3
3055395,4.42,Lawrence Dagstine,64,10
14844262,3.95,Sandra Ferrer Valero,19,9
2919757,4.33,Bliss Isely,3,6
6980575,4.25,Lori Anne Rising,4,2
42185,4.08,Rita Carter,3261,111
15143655,4.05,Khairul Hafidz,130,23
2967165,3.76,K. Lippi,29,14
3208,3.80,Gavin Lambert,714,71
35646,3.62,Knister,3017,98
930479,4.03,Geoffrey Tillotson,62,11
7077675,4.65,Rae Ann Parker,23,17
73693,4.14,Bob Russell,192,33
141638,4.14,B.J. Hoff,4796,495
787720,4.23,Laurence Cleyet-Merle,53,14
14665019,4.00,Taz Thornton,14,3
151782,3.16,Sheila Douglas,64,13
378702,4.07,Michael Cisco,5902,531
6511338,3.89,Kevin  Moore,76,20
5293948,3.75,Maria Bratova,87,13
742174,4.13,Chica Umino,7292,290
14184935,4.33,Lucas Kana,12,6
5381663,3.00,Alistair Dougall,1,1
1360762,3.73,Matt Taylor,1197,140
8394266,3.19,Shauna Hudson,105,13
2915792,3.87,Vylar Kaftan,4122,620
6878177,3.64,Zoe Lynne,293,70
6454826,4.26,Bob Atkinson,219,55
4415460,3.73,Chris Hanks,84,5
1618577,4.25,Miles O'Neal,8,3
16605,3.60,James Churchward,423,37
459405,3.91,A.W. Wheen,258803,5949
5617070,4.23,Unknown Author 230,39,5
243397,3.72,Jeff Apter,1031,95
6560806,3.55,Stephanie  Jackson,62,10
14164425,4.35,Mark D. Davis,46,23
3055114,3.80,Timothy W. Long,3881,399
4042176,2.50,hll lbdy,14,9
4879762,3.86,Edith DuBois,279,17
1399962,4.15,mrtDy khlntryn,1993,135
5152675,3.62,Aaron Carr,194,29
1111195,4.00,Susan   Gabriel,2053,282
52922,3.91,Ted McKeever,8733,372
4122073,3.73,E.J. Langford Garstin,33,5
6424522,4.67,Tihanna Peach,81,17
3455203,2.93,Jennifer Joyner,408,89
5760028,3.35,Brad Miller,20,3
15288308,3.30,Kristian Charli Tanev,23,1
14124331,4.25,Joanne Miller,1059,179
52074,3.83,John Crowley,26299,2964
1600757,4.70,Max Hammer,10,3
654948,3.89,Mark Horne,281,92
331814,4.21,Jeannine Fiedler,102,8
7422438,4.09,Elliott Chan,100,8
302069,5.00,Aziz Anis,2,1
3407993,4.00,Emma Lang,3978,426
27487,3.66,Elizabeth Smart,2606,334
7222602,3.96,mHmdrD srglzyy,23,5
385658,3.87,Tracy Campbell,90,25
